"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"410","Caroline Weir","Scotland",5,0,"2017-07-27","2024-10-29","🇬🇧"
"411","Chelsea Cornet","Scotland",5,0,"2024-06-04","2024-06-04","🇬🇧"
"412","Christina Bonde","Denmark",5,0,"1995-06-10","2001-06-28","🇩🇰"
"413","Christina Hansen","Denmark",5,0,"1995-06-06","1995-06-06","🇩🇰"
"414","Cristina Martín-Prieto","Spain",5,0,"2025-07-03","2025-07-03","🇪🇸"
"415","Darya Maniukova","Belarus",5,0,"2024-07-16","2024-07-16","🇧🇾"
"416","Elif Keskin","Turkey",5,0,"2024-07-16","2024-10-25","🇹🇷"
"417","Elisabetta Vignotto","Italy",5,0,"1984-04-08","1989-06-28","🇮🇹"
"418","Emily van Egmond","Australia",5,0,"2011-07-03","2023-07-27","🇦🇺"
"419","Formiga","Brazil",5,0,"2007-09-23","2015-06-09","🇧🇷"
"420","Francielle","Brazil",5,0,"2012-07-25","2012-07-25","🇧🇷"
"421","Gabi Portilho","Brazil",5,0,"2024-08-03","2024-08-06","🇧🇷"
"422","Geri Donnelly","Canada",5,0,"1995-06-06","1995-06-08","🇨🇦"
"423","Gunhild Følstad","Japan",5,0,"2008-08-12","2008-08-12","🇯🇵"
"424","Hannah Wilkinson","New Zealand",5,0,"2011-07-05","2023-07-20","🇳🇿"
"425","Hanne Nissen","Denmark",5,0,"1991-11-19","1993-07-03","🇩🇰"
"426","Irina Grigorieva","Russia",5,0,"1997-07-02","1999-06-26","🇷🇺"
"427","Janice Cayman","Belgium",5,0,"2017-07-20","2025-07-11","🇧🇪"
"428","Jennifer Ruiz","France",5,0,"2015-06-17","2015-06-17","🇫🇷"
"429","Jun Endō","Japan",5,0,"2023-07-22","2023-07-22","🇯🇵"
"430","Jéssica Silva","Portugal",5,0,"2022-07-09","2024-07-16","🇵🇹"
"431","Kassandra Missipo","Belgium",5,0,"2024-10-29","2024-10-29","🇧🇪"
"432","Kelsie Burrows","England",5,0,"2022-07-15","2022-07-15","🇬🇧"
"433","Kirsten van de Ven","Netherlands",5,0,"2009-08-23","2015-06-23","🇳🇱"
"434","Kirsty Hanson","Scotland",5,0,"2024-05-31","2024-07-16","🇬🇧"
"435","Kristin Bengtsson","Sweden",5,0,"1999-06-19","2001-06-27","🇸🇪"
"436","Kristina Hoxhaj","Norway",5,0,"2024-10-25","2024-10-25","🇳🇴"
"437","Laia Codina","Spain",5,0,"2023-08-05","2023-08-05","🇪🇸"
"438","Larisa Savina","Russia",5,0,"1999-06-23","1999-06-23","🇷🇺"
"439","Leicy Santos","Colombia",5,0,"2023-08-12","2024-08-03","🇨🇴"
"440","Li Jie","China PR",5,0,"2007-09-12","2007-09-20","🇨🇳"
"441","Lilli Halttunen","Finland",5,0,"2024-10-29","2024-10-29","🇫🇮"
"442","Manuela Giugliano","Italy",5,0,"2024-06-04","2024-07-16","🇮🇹"
"443","Marit Fiane Grødum","Norway",5,0,"2005-06-12","2005-06-12","🇳🇴"
"444","Maša Tomašević","Montenegro",5,0,"2024-04-09","2024-04-09","🇲🇪"
"445","Merete Pedersen","Denmark",5,0,"1997-07-03","2005-06-08","🇩🇰"
"446","Nadine Riesen","Switzerland",5,0,"2024-04-09","2025-07-02","🇨🇭"
"447","Natalia Karasseva","Russia",5,0,"1999-06-23","1999-06-23","🇷🇺"
"448","Petra Wimbersky","Germany",5,0,"2001-06-30","2004-08-17","🇩🇪"
"449","Qendresa Krasniqi","Albania",5,0,"2024-05-31","2024-06-04","🇦🇱"
"450","Rebecca Smith","New Zealand",5,0,"2011-07-05","2012-07-31","🇳🇿"
"451","Ria Öling","Finland",5,0,"2024-10-29","2024-10-29","🇫🇮"
"452","Sandie Toletti","France",5,0,"2025-07-13","2025-07-13","🇫🇷"
"453","Sara Makovec","Slovenia",5,0,"2024-07-12","2024-07-12","🇸🇮"
"454","Savannah Taylor","Romania",5,0,"2024-04-05","2024-04-05","🇷🇴"
"455","Sophie Schmidt","Canada",5,0,"2007-09-15","2016-08-12","🇨🇦"
"456","Steph Houghton","England",5,0,"2015-06-22","2019-06-23","🇬🇧"
"457","Steph Houghton","Great Britain",5,0,"2012-07-25","2012-07-31","❓"
"458","Sunniva Willemoes Dal Christiansen","Faroe Islands",5,0,"2024-04-09","2024-05-31","🇫🇴"
"459","Tobin Heath","United States",5,0,"2015-07-05","2015-07-05","🇺🇸"
"460","Valeriya Belaya","Belarus",5,0,"2024-07-16","2024-07-16","🇧🇾"
"461","Verónica Boquete","Spain",5,0,"2013-07-12","2015-06-17","🇪🇸"
"462","Vicky López","Spain",5,0,"2025-07-03","2025-07-03","🇪🇸"
"463","Viktorija Panchurova","Slovenia",5,0,"2024-04-09","2024-04-09","🇸🇮"
"464","Vilma Koivisto","Finland",5,0,"2024-10-29","2024-10-29","🇫🇮"
"465","Wang Shanshan","China PR",5,0,"2015-06-15","2021-07-27","🇨🇳"
"466","Yukari Kinga","Japan",5,0,"2008-08-12","2008-08-12","🇯🇵"
"467","Yūki Ōgimi","Japan",5,0,"2012-08-03","2012-08-09","🇯🇵"
"468","Zara Kramžar","Slovenia",5,0,"2024-07-12","2024-07-12","🇸🇮"
"469","Adriana","Brazil",4,0,"2024-08-06","2024-08-06","🇧🇷"
"470","Alberta Sackey","Ghana",4,0,"2003-09-28","2003-09-28","🇬🇭"
"471","Alexandra Burova","Kazakhstan",4,0,"2024-06-04","2024-06-04","🇰🇿"
"472","Amber Hearn","New Zealand",4,1,"2008-08-06","2016-08-06","🇳🇿"
"473","Amy Rodriguez","United States",4,0,"2008-08-12","2008-08-12","🇺🇸"
"474","Ana-Maria Crnogorčević","Netherlands",4,0,"2022-07-17","2022-07-17","🇳🇱"
"475","Anastasija Ročāne","North Macedonia",4,0,"2024-04-05","2024-04-05","🇲🇰"
"476","Anastasija Ćirić","Serbia",4,0,"2024-04-09","2024-04-09","🇷🇸"
"477","Angelika Fehrmann","Germany",4,0,"1989-07-02","1989-07-02","🇩🇪"
"478","Angharad James-Turner","Wales",4,0,"2024-04-05","2024-04-05","🇬🇧"
"479","Ani Safaryan","Armenia",4,0,"2024-04-09","2024-07-12","🇦🇲"
"480","Anita Waage","Norway",4,0,"1995-02-26","1995-02-26","🇳🇴"
"481","Anna Kristīne Gornela","North Macedonia",4,0,"2024-04-05","2024-04-05","🇲🇰"
"482","Anna Patten","Republic of Ireland",4,0,"2024-07-16","2024-12-03","🇮🇪"
"483","Asselkhan Turlybekova","Kazakhstan",4,0,"2024-06-04","2024-06-04","🇰🇿"
"484","Babett Peter","Germany",4,2,"2017-07-21","2017-07-25","🇩🇪"
"485","Birgül Sadıkoğlu","Turkey",4,0,"2024-07-16","2024-07-16","🇹🇷"
"486","Birita Ryan","Faroe Islands",4,0,"2024-05-31","2024-05-31","🇫🇴"
"487","Busem Şeker","Turkey",4,0,"2024-07-16","2024-07-16","🇹🇷"
"488","Carla Overbeck","United States",4,1,"1995-06-10","1995-06-10","🇺🇸"
"489","Carolina Arias","France",4,0,"2016-08-03","2016-08-03","🇫🇷"
"490","Catarina Amado","Portugal",4,0,"2024-05-31","2024-05-31","🇵🇹"
"491","Cecilie Pedersen","Norway",4,0,"2009-08-27","2009-09-04","🇳🇴"
"492","Celin Bizet Ildhusøy","Norway",4,0,"2024-04-05","2024-04-05","🇳🇴"
"493","Cheryl Salisbury","Australia",4,0,"1999-06-26","2007-09-20","🇦🇺"
"494","Chiara Beccari","Italy",4,0,"2024-07-16","2024-07-16","🇮🇹"
"495","Clara Mateo","France",4,0,"2025-07-09","2025-07-09","🇫🇷"
"496","Daniela","Brazil",4,0,"2008-08-09","2008-08-15","🇧🇷"
"497","Daryna Apanashchenko","Ukraine",4,0,"2024-07-12","2024-07-12","🇺🇦"
"498","Debbie Keller","United States",4,0,"1995-06-10","1995-06-10","🇺🇸"
"499","Dolores Silva","Portugal",4,1,"2024-10-29","2024-10-29","🇵🇹"
"500","Elisa Senß","Germany",4,0,"2024-07-31","2024-07-31","🇩🇪"
"501","Elisabeth Terland","Norway",4,0,"2024-04-05","2024-04-05","🇳🇴"
"502","Elissandra Regina Cavalcanti","Brazil",4,0,"1999-07-01","1999-07-01","🇧🇷"
"503","Eva Nyström","Italy",4,0,"2024-07-16","2024-07-16","🇮🇹"
"504","Evelyn Ijeh","Sweden",4,0,"2024-10-25","2024-10-25","🇸🇪"
"505","Eyðvør Klakstein","Faroe Islands",4,0,"2024-07-16","2024-07-16","🇫🇴"
"506","Frederikke Thøgersen","Denmark",4,0,"2024-04-09","2024-04-09","🇩🇰"
"507","Fátima Pinto","Portugal",4,0,"2024-10-29","2024-10-29","🇵🇹"
"508","Genoveva Añonman","Equatorial Guinea",4,0,"2011-07-03","2011-07-03","🇬🇶"
"509","Gentjana Rochi","North Macedonia",4,0,"2024-04-05","2024-04-05","🇲🇰"
"510","Glódís Perla Viggósdóttir","Iceland",4,2,"2024-05-31","2025-07-10","🇮🇸"
"511","Gu Yasha","China PR",4,0,"2008-08-12","2016-08-06","🇨🇳"
"512","Gudrun Gottschlich","Germany",4,0,"1991-11-17","1991-11-17","🇩🇪"
"513","Hildah Magaia","South Africa",4,0,"2023-07-23","2023-08-02","🇿🇦"
"514","Hiromi Ikeda","Norway",4,0,"1999-06-26","1999-06-26","🇳🇴"
"515","Ilaria Mauro","Italy",4,0,"2013-07-13","2017-07-21","🇮🇹"
"516","Irene Paredes","Brazil",4,0,"2024-08-06","2024-08-06","🇧🇷"
"517","Jo Song-ok","North Korea",4,0,"1999-06-20","1999-06-24","🇰🇵"
"518","Julie Blakstad","Norway",4,0,"2022-07-07","2022-07-07","🇳🇴"
"519","Julie Hauge Andersson","Denmark",4,0,"2001-06-28","2001-06-28","🇩🇰"
"520","Kader Hançar","Turkey",4,0,"2024-07-16","2024-07-16","🇹🇷"
"521","Kerolin","Brazil",4,0,"2024-08-06","2024-08-06","🇧🇷"
"522","Kerstin Stegemann","Germany",4,0,"2007-09-26","2008-08-09","🇩🇪"
"523","Kim Song-hui","North Korea",4,0,"2012-07-25","2012-07-25","🇰🇵"
"524","Korina Janež","Slovenia",4,0,"2024-06-04","2024-06-04","🇸🇮"
"525","Kátia Cilene Teixeira da Silva","Brazil",4,0,"2000-09-13","2000-09-19","🇧🇷"
"526","Laura Kalmari","Finland",4,0,"2005-06-05","2005-06-11","🇫🇮"
"527","Laura Österberg Kalmari","Finland",4,0,"2009-08-26","2009-08-26","🇫🇮"
"528","Lena Lattwein","Germany",4,0,"2022-07-08","2022-07-08","🇩🇪"
"529","Lenche Andreevska","North Macedonia",4,0,"2024-06-04","2024-06-04","🇲🇰"
"530","Leslie Osborne","Brazil",4,0,"2007-09-27","2007-09-27","🇧🇷"
"531","Linda Caicedo","Colombia",4,0,"2023-07-25","2023-07-30","🇨🇴"
"532","Louisa Nécib","France",4,1,"2013-07-18","2013-07-22","🇫🇷"
"533","Ma Li","China PR",4,0,"1991-11-16","1991-11-16","🇨🇳"
"534","Madelen Janogy","Sweden",4,0,"2019-06-11","2021-07-27","🇸🇪"
"535","Magdalena Eriksson","Sweden",4,0,"2021-07-30","2024-06-04","🇸🇪"
"536","Mana Iwabuchi","Japan",4,0,"2015-06-27","2021-07-21","🇯🇵"
"537","Maribel Domínguez","Mexico",4,0,"1999-06-19","2011-07-05","🇲🇽"
"538","Martina Franko","Canada",4,0,"2007-09-15","2007-09-15","🇨🇦"
"539","Michela Cambiaghi","Italy",4,0,"2024-07-16","2024-07-16","🇮🇹"
"540","Michelle Agyemang","England",4,0,"2025-07-17","2025-07-22","🇬🇧"
"541","Mirjam Kastelec","Slovenia",4,0,"2024-07-16","2024-07-16","🇸🇮"
"542","Mizuho Sakaguchi","Japan",4,0,"2012-08-06","2015-06-23","🇯🇵"
"543","Mária Mikolajová","Slovakia",4,0,"2024-04-05","2024-10-25","🇸🇰"
"544","Mădălina Bădiceanu","North Macedonia",4,0,"2024-06-04","2024-06-04","🇲🇰"
"545","Nadia Krezyman","Poland",4,0,"2024-10-29","2024-10-29","🇵🇱"
"546","Nadia Nadim","Denmark",4,1,"2017-07-30","2017-08-06","🇩🇰"
"547","Nikita Parris","England",4,1,"2017-07-27","2019-06-09","🇬🇧"
"548","Nina Burger","Austria",4,0,"2017-07-18","2017-07-26","🇦🇹"
"549","Olga Karasseva","Russia",4,0,"1999-06-26","1999-06-26","🇷🇺"
"550","Olha Basanska","Ukraine",4,0,"2024-07-12","2024-07-12","🇺🇦"
"551","Patricia Brocker","Germany",4,0,"1994-12-11","1994-12-11","🇩🇪"
"552","Petra Hoydal","Faroe Islands",4,0,"2024-05-31","2024-05-31","🇫🇴"
"553","Samantha Kerr","Scotland",4,0,"2024-10-29","2024-10-29","🇬🇧"
"554","Sara Stokić","Serbia",4,0,"2024-10-29","2024-10-29","🇷🇸"
"555","Sarah Gregorius","New Zealand",4,0,"2011-07-01","2012-07-31","🇳🇿"
"556","Sarah Walsh","Australia",4,0,"2007-09-12","2007-09-12","🇦🇺"
"557","Signe Bruun","Denmark",4,0,"2024-07-16","2025-07-12","🇩🇰"
"558","Smilla Holmberg","Sweden",4,0,"2025-07-12","2025-07-12","🇸🇪"
"559","Smilla Vallotto","Switzerland",4,1,"2024-04-09","2024-04-09","🇨🇭"
"560","Sofia Eriksson","Sweden",4,0,"2001-06-27","2001-06-27","🇸🇪"
"561","Sofie Svava","Denmark",4,0,"2024-04-09","2024-04-09","🇩🇰"
"562","Sonia Bompastor","France",4,1,"2009-08-24","2011-07-13","🇫🇷"
"563","Stefanie Gottschlich","Germany",4,0,"2003-09-20","2003-09-20","🇩🇪"
"564","Stéphanie Mugneret-Béghé","France",4,0,"2001-06-28","2005-06-09","🇫🇷"
"565","Tatiana Pinto","Portugal",4,0,"2024-10-25","2024-10-25","🇵🇹"
"566","Terry McCahill","Norway",4,0,"1991-11-19","1991-11-19","🇳🇴"
"567","Thea Bjelde","Norway",4,0,"2024-04-05","2024-04-05","🇳🇴"
"568","Trine Rønning","Norway",4,0,"2015-06-07","2015-06-07","🇳🇴"
"569","Trine Tangeraas","Norway",4,0,"1996-07-25","1996-07-25","🇳🇴"
"570","Tuva Hansen","Norway",4,0,"2024-11-29","2024-11-29","🇳🇴"
"571","Tyla-Jay Vlajnic","Serbia",4,0,"2024-06-04","2024-06-04","🇷🇸"
"572","Tórunn Joensen","Faroe Islands",4,0,"2024-07-16","2024-07-16","🇫🇴"
"573","Valentina Giacinti","Italy",4,0,"2019-06-25","2024-04-05","🇮🇹"
"574","Valérie Gauvin","France",4,0,"2019-06-12","2019-06-23","🇫🇷"
"575","Wiktoria Zieniewicz","Germany",4,0,"2024-05-31","2024-05-31","🇩🇪"
"576","Wu Weiying","China PR",4,0,"1991-11-21","1991-11-21","🇨🇳"
"577","Yuika Sugasawa","Japan",4,1,"2015-06-12","2019-06-14","🇯🇵"
"578","Adriana Leon","Canada",3,0,"2021-07-27","2023-07-26","🇨🇦"
"579","Aleksandra Yaneva","Bulgaria",3,0,"2024-07-12","2024-07-12","🇧🇬"
"580","Alexandra Jóhannsdóttir","Iceland",3,0,"2024-07-12","2024-07-12","🇮🇸"
"581","Amanda Barr","England",3,0,"2005-06-05","2005-06-05","🇬🇧"
"582","Amy Thompson","Luxembourg",3,0,"2024-04-05","2024-07-16","🇱🇺"
"583","Anastasia Gkatsou","Greece",3,0,"2024-04-09","2024-04-09","🇬🇷"
"584","Anastasia Shuppo","Belarus",3,1,"2024-04-05","2024-04-05","🇧🇾"
"585","Anette Börjesson","Sweden",3,0,"1987-06-11","1987-06-11","🇸🇪"
"586","Ange N'Guessan","Ivory Coast",3,0,"2015-06-11","2015-06-15","❓"
"587","Anna Kozyupa","Belarus",3,0,"2024-04-09","2024-04-09","🇧🇾"
"588","Anna Pilipenko","Belarus",3,0,"2024-04-09","2024-04-09","🇧🇾"
"589","Annabel Schasching","Austria",3,0,"2024-07-12","2024-07-12","🇦🇹"
"590","Anneli Giske","Norway",3,0,"2009-09-04","2009-09-04","🇳🇴"
"591","Annica Sjölund","Finland",3,0,"2009-09-03","2013-07-16","🇫🇮"
"592","Aoba Fujino","Japan",3,0,"2023-07-26","2024-07-25","🇯🇵"
"593","Barbara Dunst","Austria",3,0,"2024-10-25","2024-10-25","🇦🇹"
"594","Benedetta Orsi","South Africa",3,0,"2023-08-02","2023-08-02","🇿🇦"
"595","Bi Yan","China PR",3,0,"2007-09-12","2007-09-12","🇨🇳"
"596","Bruna Vilamala","Spain",3,0,"2024-06-04","2024-06-04","🇪🇸"
"597","Candace Chapman","Canada",3,0,"2007-09-12","2008-08-06","🇨🇦"
"598","Carmen Marcu","Romania",3,0,"2024-07-16","2024-07-16","🇷🇴"
"599","Carolina Mendes","Portugal",3,0,"2017-07-23","2017-07-27","🇵🇹"
"600","Carolina Țabur","Moldova",3,0,"2024-05-31","2024-06-04","🇲🇩"
"601","Caroline Seger","Sweden",3,0,"2009-08-25","2009-08-25","🇸🇪"
"602","Casey Stoney","Great Britain",3,0,"2012-07-28","2012-07-28","❓"
"603","Celina Degen","Austria",3,0,"2024-07-12","2024-07-12","🇦🇹"
"604","Charlotte Rohlin","Sweden",3,0,"2009-08-25","2009-08-25","🇸🇪"
"605","Chloe Logarzo","Australia",3,0,"2019-06-13","2019-06-13","🇦🇺"
"606","Cho So-hyun","South Korea",3,0,"2015-06-17","2023-08-03","🇰🇷"
"607","Cécile Locatelli","Sweden",3,0,"1997-07-05","1997-07-05","🇸🇪"
"608","Damaris Egurrola","Netherlands",3,0,"2022-07-13","2022-07-13","🇳🇱"
"609","Delma Gonçalves","Brazil",3,0,"2000-09-13","2004-08-26","🇧🇷"
"610","Denise O'Sullivan","Republic of Ireland",3,0,"2024-07-16","2024-07-16","🇮🇪"
"611","Desire Oparanozie","Sweden",3,0,"2015-06-08","2015-06-08","🇸🇪"
"612","Diljá Ýr Zomers","Iceland",3,0,"2024-04-05","2024-04-05","🇮🇸"
"613","Dominique Bloodworth","Netherlands",3,0,"2019-06-15","2019-06-15","🇳🇱"
"614","Dominique Janssen","Netherlands",3,0,"2021-07-24","2021-07-24","🇳🇱"
"615","Doris Uusitalo","Sweden",3,0,"1984-04-08","1984-04-08","🇸🇪"
"616","Ece Türkoğlu","Turkey",3,0,"2024-04-05","2024-04-09","🇹🇷"
"617","Elena Danilova","Russia",3,0,"2003-10-02","2017-07-17","🇷🇺"
"618","Elena Morozova","Russia",3,0,"2013-07-12","2017-07-17","🇷🇺"
"619","Elisa Camporese","Italy",3,0,"2005-06-12","2005-06-12","🇮🇹"
"620","Emily Gielnik","Australia",3,0,"2021-08-05","2021-08-05","🇦🇺"
"621","Emmanuelle Sykora","Norway",3,0,"2001-06-25","2001-06-25","🇳🇴"
"622","Eriko Arakawa","Japan",3,0,"2004-08-11","2008-08-18","🇯🇵"
"623","Florencia Bonsegundo","Argentina",3,1,"2019-06-19","2019-06-19","🇦🇷"
"624","Francisca Nazareth","Portugal",3,0,"2023-07-27","2024-11-29","🇵🇹"
"625","Francisca Ordega","Nigeria",3,0,"2015-06-08","2015-06-08","🇳🇬"
"626","Gaëlle Blouin","France",3,0,"2001-06-28","2001-06-28","🇫🇷"
"627","Gloria Slišković","Portugal",3,0,"2024-04-05","2024-04-05","🇵🇹"
"628","Géraldine Reuteler","Switzerland",3,0,"2022-07-17","2025-07-06","🇨🇭"
"629","Hannah Cain","Wales",3,1,"2024-12-03","2025-07-13","🇬🇧"
"630","Hikaru Kitagawa","Japan",3,0,"2024-07-31","2024-07-31","🇯🇵"
"631","Hoda Lattaf","France",3,0,"2005-06-06","2005-06-06","🇫🇷"
"632","Ingibjörg Sigurðardóttir","Iceland",3,0,"2024-07-12","2024-07-12","🇮🇸"
"633","Ingrid Syrstad Engen","Japan",3,0,"2023-08-05","2023-08-05","🇯🇵"
"634","Irene Paredes","Norway",3,0,"2013-07-22","2013-07-22","🇳🇴"
"635","Ivana Rudelić","Croatia",3,0,"2024-05-31","2024-06-04","🇭🇷"
"636","Janice Cayman","Denmark",3,0,"2024-07-12","2024-07-12","🇩🇰"
"637","Jen Beattie","Scotland",3,0,"2019-06-19","2019-06-19","🇬🇧"
"638","Jill Scott","Great Britain",3,0,"2012-07-28","2012-07-28","❓"
"639","Johanna Rasmussen","Denmark",3,0,"2005-06-05","2013-07-22","🇩🇰"
"640","Josefine Hasbo","Denmark",3,0,"2024-04-05","2024-04-05","🇩🇰"
"641","Julie Ertz","United States",3,0,"2019-06-16","2019-06-16","🇺🇸"
"642","Justine Vanhaevermaet","Belgium",3,1,"2022-07-10","2025-07-07","🇧🇪"
"643","Jutta Rantala","Finland",3,0,"2024-04-09","2024-06-04","🇫🇮"
"644","Karen Walker","England",3,0,"1995-06-10","1995-06-10","🇬🇧"
"645","Kerry Davis","England",3,1,"1987-06-11","1987-06-13","🇬🇧"
"646","Kim Kum-sil","North Korea",3,0,"1999-06-24","1999-06-24","🇰🇵"
"647","Kim Kyong-hwa","North Korea",3,0,"2007-09-14","2008-08-06","🇰🇵"
"648","Kim Little","Scotland",3,0,"2019-06-19","2019-06-19","🇬🇧"
"649","Kristiana Karaivanova","Bulgaria",3,0,"2024-07-12","2024-07-12","🇧🇬"
"650","Kristin Jonsson","Sweden",3,0,"1997-07-05","1997-07-05","🇸🇪"
"651","Ksenia Kubichnaya","Belarus",3,0,"2024-04-05","2024-04-05","🇧🇾"
"652","Lady Andrade","Colombia",3,0,"2015-06-13","2015-06-17","🇨🇴"
"653","Lara Kazanchian","Armenia",3,0,"2024-04-09","2024-04-09","🇦🇲"
"654","Lee Alexander","Argentina",3,0,"2019-06-19","2019-06-19","🇦🇷"
"655","Leena Khamis","Australia",3,0,"2011-07-03","2011-07-03","🇦🇺"
"656","Lena Lotzen","Germany",3,0,"2013-07-14","2013-07-14","🇩🇪"
"657","Lena Oberdorf","Germany",3,0,"2024-04-09","2024-04-09","🇩🇪"
"658","Linda Curl","England",3,0,"1984-04-08","1984-05-27","🇬🇧"
"659","Lineth Cedeño","Panama",3,0,"2023-08-02","2023-08-02","🇵🇦"
"660","Lisa-Marie Karlseng Utland","Norway",3,0,"2019-06-08","2019-06-08","🇳🇴"
"661","Liu Ying","China PR",3,0,"1999-06-26","1999-06-26","🇨🇳"
"662","Lora Petrova","Bulgaria",3,0,"2024-07-12","2024-07-12","🇧🇬"
"663","Ludmila","Brazil",3,0,"2021-07-24","2021-07-24","🇧🇷"
"664","Lushomo Mweemba","Zambia",3,0,"2023-07-31","2023-07-31","🇿🇲"
"665","Lyubov Shmatko","Ukraine",3,0,"2024-10-29","2024-12-03","🇺🇦"
"666","Maika Hamano","Japan",3,0,"2024-07-31","2024-07-31","🇯🇵"
"667","Maral Artin","Armenia",3,1,"2024-05-31","2024-06-04","🇦🇲"
"668","Marieanne Spacey","England",3,1,"1995-06-06","1995-06-06","🇬🇧"
"669","Marina Hegering","Germany",3,0,"2024-07-25","2024-07-25","🇩🇪"
"670","Marina Saenko","Russia",3,0,"2003-09-25","2003-09-25","🇷🇺"
"671","Marta Cox","Panama",3,0,"2023-08-02","2023-08-02","🇵🇦"
"672","Martina Voss-Tecklenburg","Germany",3,0,"1995-06-13","1995-06-13","🇩🇪"
"673","Martina Šurnovská","Slovakia",3,0,"2024-05-31","2024-10-25","🇸🇰"
"674","Martyna Wiankowska","Poland",3,0,"2025-07-12","2025-07-12","🇵🇱"
"675","María Méndez","Spain",3,0,"2024-04-09","2024-04-09","🇪🇸"
"676","Maycon","Brazil",3,0,"1999-06-27","1999-06-27","🇧🇷"
"677","Małgorzata Mesjasz","Iceland",3,0,"2024-04-05","2024-04-05","🇮🇸"
"678","Megan Bell","Northern Ireland",3,0,"2024-04-09","2024-04-09","🇬🇧"
"679","Megi Doçi","Albania",3,1,"2024-06-04","2024-06-04","🇦🇱"
"680","Melissa Herrera","Costa Rica",3,0,"2015-06-13","2023-07-31","🇨🇷"
"681","Melissa Wiik","Norway",3,0,"2008-08-06","2008-08-09","🇳🇴"
"682","Meriame Terchoun","Switzerland",3,0,"2024-07-16","2024-07-16","🇨🇭"
"683","Milagros Menéndez","Argentina",3,0,"2019-06-19","2019-06-19","🇦🇷"
"684","Millie Bright","Netherlands",3,0,"2017-08-03","2017-08-03","🇳🇱"
"685","Monica Knudsen","Norway",3,0,"2001-06-25","2001-06-25","🇳🇴"
"686","Mônica","Australia",3,0,"2019-06-13","2019-06-13","🇦🇺"
"687","Mônica","Brazil",3,0,"2016-08-03","2016-08-03","🇧🇷"
"688","Ngozi Okobi-Okeoghene","Nigeria",3,0,"2015-06-08","2015-06-08","🇳🇬"
"689","Nicole Anyomi","Germany",3,0,"2022-07-16","2022-07-16","🇩🇪"
"690","Nkechi Egbe","Nigeria",3,0,"1999-07-01","1999-07-01","🇳🇬"
"691","Olga Carmona","Spain",3,0,"2023-08-15","2023-08-20","🇪🇸"
"692","Olga Iordăchiuși","Romania",3,0,"2024-07-12","2024-07-12","🇷🇴"
"693","Osinachi Ohale","Nigeria",3,0,"2023-07-27","2023-07-27","🇳🇬"
"694","Osinachi Ohale","Norway",3,0,"2019-06-08","2019-06-08","🇳🇴"
"695","Patience Avre","Nigeria",3,0,"1995-06-08","1995-06-08","🇳🇬"
"696","Patricia Guijarro","Spain",3,0,"2025-07-11","2025-07-11","🇪🇸"
"697","Perpetua Nkwocha","Nigeria",3,1,"2000-09-14","2011-07-05","🇳🇬"
"698","Prisca Emeafu","Nigeria",3,0,"1999-07-01","1999-07-01","🇳🇬"
"699","Raffaella Manieri","Sweden",3,0,"2013-07-16","2013-07-16","🇸🇪"
"700","Raquel","Brazil",3,0,"2000-09-16","2000-09-19","🇧🇷"
"701","Ri Kum-suk","North Korea",3,0,"2007-09-14","2008-08-09","🇰🇵"
"702","Ri Un-gyong","North Korea",3,0,"2003-09-20","2003-09-20","🇰🇵"
"703","Risa Shimizu","Japan",3,0,"2023-08-05","2023-08-05","🇯🇵"
"704","Rita Guarino","Italy",3,0,"1991-11-24","2001-06-28","🇮🇹"
"705","Sanna Valkonen","England",3,0,"2005-06-05","2005-06-05","🇬🇧"
"706","Sanne Troelsgaard Nielsen","Denmark",3,0,"2017-07-16","2023-08-01","🇩🇰"
"707","Sara Holmgaard","Denmark",3,0,"2024-07-12","2024-07-12","🇩🇰"
"708","Sarah Zadrazil","Austria",3,0,"2017-07-26","2017-07-26","🇦🇹"
"709","Silvia Fiorini","Italy",3,0,"1991-07-14","1997-07-09","🇮🇹"
"710","Simone Magill","Northern Ireland",3,0,"2024-04-09","2024-04-09","🇬🇧"
"711","Sissel Grude","Norway",3,0,"1989-06-28","1989-07-02","🇳🇴"
"712","Sissy Raith","Germany",3,0,"1991-07-11","1991-07-11","🇩🇪"
"713","Sjoeke Nüsken","Germany",3,1,"2025-07-08","2025-07-19","🇩🇪"
"714","Song Xiaoli","China PR",3,0,"2007-09-12","2007-09-12","🇨🇳"
"715","Sophia Kleinherne","Germany",3,0,"2022-07-16","2022-07-16","🇩🇪"
"716","Sophie Ingle","Wales",3,0,"2024-07-12","2024-07-12","🇬🇧"
"717","Stefanie Enzinger","Austria",3,0,"2017-07-26","2017-07-26","🇦🇹"
"718","Stephanie Ribeiro","Portugal",3,0,"2024-07-16","2024-07-16","🇵🇹"
"719","Stina Segerström","Norway",3,0,"2009-09-04","2009-09-04","🇳🇴"
"720","Stine Ballisager Pedersen","Denmark",3,0,"2024-04-05","2024-04-05","🇩🇰"
"721","Sunni Hughes","Australia",3,0,"1995-06-08","2000-09-19","🇦🇺"
"722","Synne Jensen","Norway",3,0,"2024-12-03","2024-12-03","🇳🇴"
"723","Telma Encarnação","Portugal",3,0,"2023-07-27","2025-07-11","🇵🇹"
"724","Thanatta Chawong","Thailand",3,0,"2015-06-11","2015-06-11","🇹🇭"
