"","scorer","team","goals","penalties","first_match","last_match","country_flag"
"731","Veronika Asatryan","Armenia",3,0,"2024-04-09","2024-04-09","🇦🇲"
"732","Vicky Losada","Spain",3,0,"2015-06-09","2017-07-19","🇪🇸"
"733","Wang Liping","China PR",3,0,"1995-06-06","1995-06-06","🇨🇳"
"734","Wang Lisi","China PR",3,1,"2015-06-11","2015-06-15","🇨🇳"
"735","Wendy Gebauer","United States",3,0,"1991-11-21","1991-11-21","🇺🇸"
"736","Xu Yuan","China PR",3,0,"2008-08-06","2008-08-09","🇨🇳"
"737","Yomira Pinzón","Panama",3,1,"2023-08-02","2023-08-02","🇵🇦"
"738","Ysis Sonkeng","New Zealand",3,0,"2012-07-31","2012-07-31","🇳🇿"
"739","Yumi Tomei","Germany",3,0,"1996-07-21","1996-07-21","🇩🇪"
"740","Érika","Brazil",3,0,"2011-07-06","2011-07-06","🇧🇷"
"741","Adjoa Bayor","Ghana",2,0,"2007-09-20","2007-09-20","🇬🇭"
"742","Agnese Bonfantini","Italy",2,0,"2024-04-05","2024-04-05","🇮🇹"
"743","Alessia Tuttino","Italy",2,0,"2009-08-25","2009-08-25","🇮🇹"
"744","Alisha Lehmann","Switzerland",2,0,"2024-05-31","2024-05-31","🇨🇭"
"745","Amanda Sampedro","Spain",2,0,"2017-07-19","2017-07-19","🇪🇸"
"746","Amy LePeilbet","Sweden",2,0,"2011-07-06","2011-07-06","🇸🇪"
"747","Ana Cristina Oliveira Leite","Portugal",2,0,"2017-07-23","2017-07-23","🇵🇹"
"748","Ana Maria Marković","Croatia",2,0,"2024-06-04","2024-06-04","🇭🇷"
"749","Anastasija Čemirtāne","Latvia",2,0,"2024-07-16","2024-07-16","🇱🇻"
"750","Andrea Bogorová","Slovakia",2,0,"2024-07-16","2024-07-16","🇸🇰"
"751","Andreia Norton","Portugal",2,0,"2024-06-04","2024-06-04","🇵🇹"
"752","Angela Iannotta","Australia",2,0,"1995-06-08","1995-06-08","🇦🇺"
"753","Anita Rapp","Norway",2,0,"2003-09-20","2003-09-20","🇳🇴"
"754","Anna Dallakyan","Armenia",2,0,"2024-05-31","2024-05-31","🇦🇲"
"755","Anna Petryk","Ukraine",2,1,"2024-04-05","2024-04-05","🇺🇦"
"756","Anna Pohjanen","Sweden",2,0,"1997-06-29","1997-06-29","🇸🇪"
"757","Anna-Kaisa Rantanen","Finland",2,0,"2005-06-05","2005-06-05","🇫🇮"
"758","Anouk Dekker","Netherlands",2,0,"2019-06-20","2019-06-20","🇳🇱"
"759","Aya Sameshima","Japan",2,0,"2015-06-12","2015-06-12","🇯🇵"
"760","Bai Jie","China PR",2,0,"2003-09-25","2003-09-28","🇨🇳"
"761","Brandi Chastain","Germany",2,0,"1999-07-01","1999-07-01","🇩🇪"
"762","Britta Unsleber","Germany",2,0,"1991-11-21","1991-11-21","🇩🇪"
"763","Camilla Sand","Denmark",2,0,"2009-08-26","2009-08-26","🇩🇰"
"764","Carrie Jones","Wales",2,0,"2024-12-03","2024-12-03","🇬🇧"
"765","Ceri Holland","Wales",2,0,"2024-10-29","2024-10-29","🇬🇧"
"766","Charlotte Schmit","Luxembourg",2,0,"2024-04-05","2024-04-05","🇱🇺"
"767","Chou Tai-ying","Taiwan",2,0,"1991-11-21","1991-11-21","🇹🇼"
"768","Cloé Lacasse","Canada",2,0,"2024-07-25","2024-07-25","🇨🇦"
"769","Collette McCallum","Australia",2,0,"2007-09-20","2007-09-20","🇦🇺"
"770","Coumba Sow","Switzerland",2,0,"2022-07-09","2022-07-09","🇨🇭"
