"","country","matches","goals","country_flag"
"156","Eswatini",32,35,"🇸🇿"
"157","Togo",18,35,"🇹🇬"
"158","Bolivia",42,34,"🇧🇴"
"159","Madagascar",19,34,"🇲🇬"
"160","Congo",24,33,"❓"
"161","Cook Islands",42,33,"🇨🇰"
"162","Gambia",21,33,"🇬🇲"
"163","Hitra",25,33,"❓"
"164","United States Virgin Islands",23,33,"❓"
"165","Andorra",31,32,"🇦🇩"
"166","Saudi Arabia",23,32,"🇸🇦"
"167","Belize",24,29,"🇧🇿"
"168","Chad",11,29,"🇹🇩"
"169","Pakistan",28,29,"🇵🇰"
"170","Cambodia",25,28,"🇰🇭"
"171","Czechoslovakia",23,28,"❓"
"172","Saint Vincent and the Grenadines",25,27,"❓"
"173","Tajikistan",27,27,"🇹🇯"
"174","Grenada",23,26,"🇬🇩"
"175","Antigua and Barbuda",34,25,"❓"
"176","Macedonia",42,25,"❓"
"177","Sri Lanka",35,25,"🇱🇰"
"178","Gabon",23,23,"🇬🇦"
"179","Maldives",54,23,"🇲🇻"
"180","Cape Verde",12,22,"🇨🇻"
"181","Curaçao",11,22,"🇨🇼"
"182","Martinique",18,22,"🇲🇶"
"183","Guinea",33,21,"🇬🇳"
"184","Northern Mariana Islands",19,21,"🇲🇵"
"185","Afghanistan",20,18,"🇦🇫"
"186","Benin",15,18,"🇧🇯"
"187","Dominica",33,18,"🇩🇲"
"188","Lesotho",32,18,"🇱🇸"
"189","Rwanda",17,18,"🇷🇼"
"190","Réunion",9,18,"🇷🇪"
"191","Syria",25,18,"🇸🇾"
"192","South Sudan",19,16,"🇸🇸"
"193","Liberia",12,15,"🇱🇷"
"194","Kyrgyzstan",24,14,"🇰🇬"
"195","Sierra Leone",19,14,"🇸🇱"
"196","Guinea-Bissau",16,13,"🇬🇼"
"197","Mongolia",19,13,"🇲🇳"
"198","Prince Edward Island",4,13,"❓"
"199","Gibraltar",24,12,"🇬🇮"
"200","Great Britain",8,12,"❓"
"201","Menorca",8,12,"❓"
"202","Anguilla",14,11,"🇦🇮"
"203","Comoros",19,11,"🇰🇲"
"204","Eritrea",10,11,"🇪🇷"
"205","Liechtenstein",11,11,"🇱🇮"
"206","Seychelles",10,10,"🇸🇨"
"207","Cayman Islands",18,9,"🇰🇾"
"208","Serbia and Montenegro",16,9,"❓"
"209","Rhodes",7,7,"❓"
"210","Bonaire",6,6,"❓"
"211","Curacao",4,6,"❓"
"212","Mayotte",4,6,"🇾🇹"
"213","Netherlands Antilles",4,6,"❓"
"214","Timor-Leste",22,6,"🇹🇱"
"215","U.S. Virgin Islands",7,6,"🇻🇮"
"216","American Samoa",24,5,"🇦🇸"
"217","Mauritius",18,5,"🇲🇺"
"218","Bahamas",7,4,"🇧🇸"
"219","Gozo",5,4,"❓"
"220","Orkney",4,4,"❓"
"221","Shetland Islands",4,4,"❓"
"222","Surrey",1,4,"❓"
"223","Tamil Eelam",5,4,"❓"
"224","Central African Republic",9,3,"🇨🇫"
"225","Mauritania",7,3,"🇲🇷"
"226","Shetland",5,3,"❓"
"227","British Virgin Islands",11,2,"🇻🇬"
"228","Guadeloupe",7,2,"🇬🇵"
"229","Kiribati",6,2,"🇰🇮"
"230","Niger",10,2,"🇳🇪"
"231","Qatar",3,2,"🇶🇦"
"232","Sudan",4,2,"🇸🇩"
"233","Székely Land",4,2,"❓"
"234","Turkmenistan",8,2,"🇹🇲"
"235","Turks and Caicos Islands",15,2,"❓"
"236","Djibouti",13,1,"🇩🇯"
"237","Froya",3,1,"❓"
"238","Kuwait",5,1,"🇰🇼"
"239","Saare County",3,1,"❓"
"240","Tibet",2,1,"❓"
"241","Zanzibar",9,1,"❓"
"242","Catalonia",1,0,"❓"
"243","Iraq",13,0,"🇮🇶"
"244","Libya",7,0,"🇱🇾"
"245","Macau",10,0,"❓"
"246","São Tomé and Príncipe",5,0,"❓"
"247","Yugoslavia",1,0,"❓"
